UC;couche_un;couche_media;fr_un;fr_media;IDFxspé_un;IDFxspé_media
agreement;2;2;0,011621448;0,038557254;616,0528397;1889,211035
air_pollution;2;2;0,003546251;0,003555153;499,8881408;342,2713429
biodiversity;2;2;0,008246101;0,00229469;1114,281646;180,4697416
coal;2;2;0,009869686;0,037749265;400,8713494;2397,873652
commitment;2;2;0,007904294;0,015416438;605,9565004;1110,628489
demand;2;2;0,007861568;0,009792832;383,1365076;323,0598489
energy_source;2;2;0,001196326;0,002488607;153,9807276;306,3599983
energy_supply;2;2;0,001666311;0,001260464;13,21551616;71,80808371
energy_system;2;2;0,000897244;0,00151902;74,26314226;122,0702618
environment;2;2;0,010126041;0,02055525;565,8615266;977,5541253
equity;2;2;0,003674429;0,001422061;346,1364586;25,48422582
erosion;2;2;0,002307199;0,001680618;94,08807924;22,85558649
estimate;2;2;0,01986755;0,004266184;2528,594446;355,7565908
evidence;2;2;0,011493271;0,011635047;558,8288459;243,0093478
fuel;2;2;0,032984405;0,0396238;1647,165869;2202,606176
gas;2;2;0,029181799;0,067224718;1408,899481;3102,20841
habitat;2;2;0,002606281;0,002133092;74,42388499;88,01527154
health;2;2;0,014654988;0,016224427;643,6875446;323,0549623
human_health;2;2;0,002734458;0,001034226;472,114042;10,33824586
ice_sheet;2;2;0,003845332;0,002165412;374,8588339;95,35075043
inequality;2;2;0,00187994;0,002391649;182,2699141;11,76421081
model;2;2;0,016705832;0,010406904;1344,754501;428,9505107
natural_gas;2;2;0,001367229;0,005623606;44,23404258;535,1962623
oil;2;2;0,011151463;0,033612359;324,2053664;1537,090685
pollution;2;2;0,00794702;0,01525484;464,2200751;1084,538345
public_health;2;2;0,0011536;0,002520927;105,6498614;198,3596626
reporting;2;2;0,004016236;0,002682525;472,6312323;127,8744869
safeguard;2;2;0,003631703;0,000678711;211,0118221;22,46692603
sea_ice;2;2;0,003418073;0,00232701;332,8122344;86,31612726
sea_level;2;2;0,013501389;0,009760512;1305,225585;1078,807821
supply;2;2;0,007220679;0,007756698;370,6440874;231,6926474
supply_chain;2;2;0,00093997;0,000937268;251,9958017;38,08894645
system;2;2;0,03272805;0,024110404;1045,507323;126,7003792
water_supply;2;2;0,00093997;0,001001907;60,69674852;32,86532672
adaptation;1;1;0,056654561;0,003490514;4560,123521;244,9525269
air_quality;1;1;0,002050844;0,001228144;229,8145994;53,37244542
atmosphere;1;1;0,007135228;0,010083708;650,852373;767,0739632
average;1;1;0,007306131;0,004718658;659,4494914;138,2317595
average_temperature;1;1;0,002734458;0,002391649;548,3318258;290,4818859
capacity;1;1;0,015637684;0,005041854;1533,982034;174,5864466
capture;1;1;0,00187994;0,004783297;443,1418261;546,3937931
carbon;1;1;0,035761589;0,075336932;3180,812511;3724,399741
carbon_dioxide;1;1;0,005981628;0,020232055;654,8663756;1817,954795
carbon_economy;1;1;0,000256356;0,000484794;21,90207468;151,7251466
carbon_emission;1;1;0,001367229;0,015190201;310,5149785;1865,208439
carbon_market;1;1;0,002606281;0,000807989;125,8553105;0,932975951
carbon_price;1;1;0,001409955;0,00151902;35,05218951;48,87065328
clean_energy;1;1;0,00093997;0,008532368;129,5686627;1147,400798
climate;1;1;0,154966887;0,357583789;8950,381236;9942,729568
climate_action;1;1;0,005468917;0,005720565;914,0557094;785,1841083
climate_change;1;1;0,064516129;0,173879319;6103,627952;6835,494146
climate_change_policy;1;1;0,00021363;0,001131185;12,38229152;112,8799259
climate_change_risk;1;1;0,000299081;0,000549433;40,40523034;0,760642813
climate_finance;1;1;0,005041658;0,001131185;595,490079;1,11125161
climate_goal;1;1;0,001495407;0,001098866;96,3509339;41,394053
climate_impact;1;1;0,001281777;0,00074335;351,8457157;55,35177092
climate_model;1;1;0,003076266;0,001422061;236,6170577;87,48465911
climate_policy;1;1;0,002862636;0,006496235;698,9885645;898,2999339
climate_risk;1;1;0,003930784;0,004233865;748,8180499;403,2872826
climate_system;1;1;0,004315317;0,000904948;784,9649362;28,84157343
conservation;1;1;0,004101688;0,003328916;178,0784167;64,69867279
decarboni[z|s]ation;1;1;0,002691733;0,001745257;320,3913846;64,08850664
deforestation;1;1;0,005212561;0,002197731;1016,954536;243,3267895
disaster;1;1;0,005212561;0,010148347;493,5031104;677,9953411
disruption;1;1;0,001580859;0,001939175;174,2970962;119,6860387
drought;1;1;0,005383465;0,011247212;1059,829815;1272,617647
ecosystem;1;1;0,018457595;0,002650205;2236,875906;296,6956994
effect_of_climate_change;1;1;0,000982696;0,003490514;328,2028691;599,4468604
efficiency;1;1;0,007477035;0,006657833;524,3113346;234,8780926
emission;1;1;0,173467208;0,116447432;8276,366135;5657,507048
emission_reduction;1;1;0,014569536;0,00455706;1916,320015;586,6386646
emission_reduction_target;1;1;0,000726341;0,000711031;39,20444626;47,25301849
