Source,Content
FT-2014-1.txt,"Documents sauvegardés


Friday, January 3, 2014

Financial Times (FT.com) • 679 words

A cruise that will cost the climate
campaign dear

By Christopher Caldwell

When a Chinese helicopter rescued 52 passengers from a Russian climate-science cruise ship trapped in ice off Antarctica, it was a skilfully managed end to an ordeal that had begun on Christmas Eve. It was also a debacle for climate change activists. The 233-foot Akademik Shokalskiy, a Russian meteorological ship, had been on a mission called the ""Spirit of Mawson"". It aimed to replicate part of a gruelling voyage the explorer Douglas Mawson had made in 1912. The ship carried 22 scientists looking to perform various experiments, led by Chris Turney, a professor of climate change at the University of New South Wales. They were joined by 26 tourists paying for the adventure, along with journalists for The Guardian, BBC and The Sydney Morning Herald.

Amid the worldwide relief that the passengers are now en route to Tasmania on the Australian supply ship Aurora Australis, another note is audible. Many websites where readers normally take climate change for granted have been inundated by posts from gloating disbelievers. The Australian group belittled the cold conditions that almost killed them and got a comeuppance, say the detractors. Such posts appear on the many YouTube videos uploaded by passengers (""For all your self-aggrandising bluster, you will go down in history as Turney's turkeys . . . You are an international laughing stock""), on the Spirit of Mawson Twitter feed (""If the #spiritofmawson has taught us anything it's the low level of intellect among those who have 'settled' the science"") and even on the New York Times's Dot Earth blog, where the writer Andrew Revkin notes that the incident has ""energised climate change contrarians"".

Of course, a scientific dispute cannot be settled by one near-tragedy on the high seas and a week's worth of online invective. But the episode is a setback for those making the case for what used to be called global warming - probably the largest such setback since emails stolen from the University of East Anglia in 2009 cast doubt on the scientific neutrality of several climate researchers.

A beset ship is like a skint bank, and we can draw certain parallels to the financial crisis of 2008. The voyage of the Akademik Shokalskiy mixed public and private purposes, and all such enterprises nowadays invite scepticism. Those who stood to reap the benefits of the voyage were able, when things went sour, to pass on many of the costs.

These were of three kinds. The first was a cost in danger. Precipitation and wind complicated rescue plans in the week between Christmas and New Year's day. Andrew Luck-Baker of the BBC called his own 15-minute rescue flight a ""white-knuckle ride"" - but the Chinese helicopter had to cover the distance between the Russian vessel and the rescue vessel eight times over the course of four hours. The second is a cost in money. The Xue Long, the Chinese icebreaker that sought to free the stricken vessel, became stranded itself, and will now lie idle until the weather changes. Twenty-two Russian crewmen will remain aboard the Akademik until help arrives weeks from now. French personnel and equipment were involved, too. The final cost is to science. The Aurora Australis had to delay offloading supplies to other, more purely scientific projects along the Antarctic coast in order to respond to the emergency call.

That is why the generally sympathetic Revkin found ""vexing"" the ""devil-may-care"" attitude of the ship's passengers, who videotaped their raucous and self-referential New Year's eve singalong. Nerves could be an explanation for that, but there was something unseemly in press reports of crew members dragging sleds with the passengers' luggage to the helicopters. This looked like pampering. It made Mr Turney's tweet of thanks to his rescuers - ""for all their hard work"" - sound less like the acknowledgment of an unrepayable debt to someone who has saved your life, and more like something you would say when tipping a barmaid.

How to keep well-meaning but overconfident people from imposing on others when they fail is a familiar problem. In his healthcare reform, Barack Obama sought to solve it (for better or for worse) with the ""individual mandate"", which requires people to buy health insurance even if they are certain nothing could ever go wrong with them. The state of New Hampshire has a controversial ""negligent hiker law"", which bills lost hikers for the cost of their own rescue, should they require one. In the world's deadliest waters, that approach would be neither charitable nor fair. But that does not make it reasonable, in any walk of life, to confer the rewards of risk on people who need never heed the costs.

The writer is a senior editor at The Weekly Standard "
FT-2014-10.txt," FT REPORT - INVESTING IN YOUNG PEOPLE, Friday, January 24, 2014 452 mots, p. 2

Innovators give voice to charity, climate and creativity
By Justin Cash

Nelson Rayner

New Zealand

Born in Australia and educated in New Zealand, Nelson Rayner, 28, was named the winner of Google's 2013 Young Innovators Award for his fundraising application Donate Your Desktop.

When users download the app, they allow advertising space on their computer to be rented out, with 75 per cent of the revenue generated going to a charity of their choice.

Amnesty, Oxfam New Zealand and the NZ Breast Cancer Foundation are some of the charities involved already.

""Originally, it was a campaign-based idea; that's the nature of the product,"" Mr Rayner says.

""Trying to market without a budget was a challenge, and everything had to be done from the bootstraps.""

He is currently working on Little Lot, a mobile reincarnation of Donate Your Desktop that aims to channel more of the estimated $100bn spent on digital advertising into charitable causes.

""A lot of it is about having passion, not just a business head,"" Mr Rayner says. ""My advice [for young entrepreneurs] would be to make sure you choose the right people from the start.

""Don't give away too much equity or spend too much cash. You've still got an obligation to your investors, even if you are young.""

Esperanza Garcia

Philippines

As co-founder of the International Youth Council, an organisation formed at the UN to develop future world leaders, Esperanza Garcia, 26, is a passionate ambassador both for the environment and for the potential that young people have to tackle climate change.

A single mother since the age of 18, Ms Garcia was an official Filipino delegate at the UN's 2009 Copenhagen climate change conference, and has served as a consultant to the Philippine Senate's climate change committee - where she lobbied for renewable energy laws.

""Engaging with the youth of today, I have seen a generation with an increasingly strong sense of social and environmental awareness, one that is taking action,"" says the president of the Philippine Youth Climate Movement (PhilYCM). ""Youth are not the leaders of tomorrow. We are the leaders of today.""

She recognises the exceptional work of other young environmentalists through PhilYCM's Climate Hero award.

""Our goal is to mobilise youth all over the Philippines to take action on climate change,"" she says.

""Weneedto believe and prove that we are the great generation that will overcome this challenge.""

Boniface Mwangi

Kenya

Photojournalist Boniface Mwangi was propelled to fame in 2007 when he captured images of the violence following Kenya's elections that year.

He became a visual artist, with an eye to using photography to spur social change.

In 2009, he founded Picha Mtaani, a street exhibition showcasing photographs of the post-election bloodshed across the country.

Picha Mtaani has spawned another social enterprise, Pawa254, a Nairobi-based community for young, creatively minded individuals.

Mr Mwangi says that youth movements are almost non-existent in Africa, apart from extremist, religious or women's groups.

""We are trying to build a movement in Kenya, but it will take time for it to have significant impact. A young person is more likely to end up in jail, a single mother, a substance addict or shot dead by police than get a job here.""

The 30-year-old says young people need to be given reasons to believe in themselves and in their ability to shape the future of the nation.

""If young people can learn that their actions count no matter how small, then they will do something.""

Profiles by Justin Cash
"
FT-2014-11.txt," Thursday, January 30, 2014 235 mots

The evidence for climate change is increasingly challenged

From Lord Turnbull.

Sir, A year ago I wrote to the FT (Letters, January 31, 2013) challenging an article by Edward Luce in which he claimed that ""the reality of global warming is starker than four years ago - in most respects alarmingly so.""

I pointed out that the evidence led in the opposite direction; for example the Met Office's global temperature series was moving sideways, despite the continued rise in CO2 concentrations, and that after the large retreat in the summer of 2012, by January 2013 Arctic ice was close to where it had been in January 2007.

This drew a sharp response (Letters, February 4) from Professor Chris Rapley of the Department of Earth Sciences, at University College London. He stated that ""we know that the ice is significantly thinner than in the past. From this we can be confident that the rapid decline in Arctic ice is set to continue.""

What has happened since? The summer retreat of Arctic ice in 2013 was substantially less than in 2012 and indeed its extent was about the average of the last decade. (Not mentioned in the correspondence was the growth of Antarctic ice.) The Met Office has just produced its annual figure for global temperature and it showed that in 2013 temperature continued to move sideways, in sharp contrast to its prediction that global temperature would rise by 0.3C between 2004 and 2014.

Prof Rapley ended his letter by saying that ""the UK has many climate experts"" to whom I can turn. I would prefer to be able to turn to those who are more modest about their claims and who do not express themselves as ""confident"" about things which are still subject to doubt.

Andrew Turnbull, House of Lords
"
FT-2014-12.txt," Monday, February 3, 2014 148 mots

Why stop at climate change - let's question all groupthink!

From Mr Paul Dickinson.

Sir, I must commend you for the courage to print the contrarian Lord Turnbull (""The evidence for climate change is increasingly challenged"", Letters, January 31). Government scientists, universities, presidents, prime ministers, UN organisations, the World Bank, the World Meterological Organisation, The Royal Society, etc, etc, all fall foul of ""group think"" on climate change. Sometimes it takes a distinguished peer of the realm to say the unfashionable.

But if the doors really are open for us to look consensus in the face, can I ask about another orthodoxy that people have kept buried for almost a century? Should women really have the vote? Misery for millions through world war and Twitter have followed universal suffrage. Tobacco is derided but I like a smoke.

I have many other opinions and would welcome the opportunity to see my name in the media, saying those things that others choose not to say. Hoorah for the lone voice against ""political correctness gone mad""!

Paul Dickinson, Brighton, UK
"
FT-2014-13.txt,"

Sunday, February 9, 2014

Financial Times (FT.com) • 507 words

Pacific trade winds are stalling
global warming, scientists say

By Pilita Clark, Environment Correspondent



Researchers have cast new light on one of the most baffling riddles in climate science: why has global warming stalled when emissions of the greenhouse gases blamed for climate change have kept soaring?

The explanation lies in an unprecedented strengthening of Pacific trade winds over the past 20 years, according to a study by US and Australian scientists.

These easterly winds, which blow across the tropics, have speeded up ocean circulation at the equator, pushing heat deep down into the ocean's depths and bringing cooler water up to the surface.

This has driven more cooling in other regions and accounts for much of the reason why global average air surface temperatures have stayed virtually steady since 2001, says the paper, published in this week's Nature Climate Change journal.

This pause could persist for much of the present decade if the strong trade winds continue, but the paper warns that once they slow down ""rapid warming is expected to resume"".

""Scientists have long suspected that extra ocean heat uptake has slowed the rise of global average temperatures, but the mechanism behind the hiatus remained unclear,"" said the study's lead author, Professor Matthew England of the Australian Research Council's Centre of Excellence for Climate System Science.

The implications of the research were of concern, he added. ""We should be very clear: the current hiatus offers no comfort. We are just seeing another pause in warming before the next inevitable rise in global temperatures.""

&lt;



&gt;The stalling in air temperature rises, which follows a steady trend of warming through much of the 20th century, has led some to question whether climate change is a serious problem, or whether it exists at all.

The proportion of Americans who do not believe global warming is happening rose 7 percentage points to 23 per cent between April and November last year, according to a recent US study.

While nearly two-thirds do believe climate change is occurring, the number who think humans are causing it has fallen slightly since 2012.

However, some climate scientists say the findings on the role of Pacific trade winds, which build on previous studies pointing to the oceans' role in absorbing heat, suggest the change is linked to human activity.

""These changes are temporarily masking the effects of man-made global warming,"" said Professor Richard Allan, professor of climate science at the University of Reading in the UK.

""It is likely that the current slowdown is only a temporary reprieve from rapid increases in global temperatures,"" he said, adding that it would be surprising if big changes in atmospheric and ocean circulation over the past 20 years had not already disrupted weather patterns.

&lt;&gt;The past two years have been marked by a series of unusual weather extremes.

Australia recorded its hottest year on record in 2013, while the continental US had its warmest year in 2012.

In the UK, where large parts of England have just had their wettest January in more than a century and the country's south has been hit by serious flooding and coastal damage, Met Office scientists said it was still not possible to say definitively that climate change was to blame.

""Nevertheless, recent studies have suggested an increase in the intensity of Atlantic storms that take a more southerly track, typical of this winter's extreme weather,"" the scientists say.

""There is also an increasing body of evidence that shows that extreme daily rainfall rates are becoming more intense, and that the rate of increase is consistent with what is expected from the fundamental physics of a warming world.""
"
FT-2014-14.txt,"

Friday, February 14, 2014

Financial Times (FT.com) • 567 words

Storms whip up policy debate on
climate change

By Pilita Clark and Jim Pickard

Nom de la source
Financial Times (FT.com)
Type de source
Presse • Presse Web
Périodicité
En continu
Couverture géographique
Internationale
Provenance
Londres, Grand Londres, Royaume-Uni



When huge seas smashed into a sea wall in the Devon resort town of Dawlish and left a rail track designed in the 1800s swaying in mid-air last week, global warming sceptics around the world paid attention.

This was no example of how climate change is wrecking structures that have stood for a century, according to a lengthy article posted on the popular US site Wattsupwiththat, a showcase for climate science critics.

""The real story is that an already inadequate sea wall structure which carries the mainline railway has taken numerous hits from waves and storms since its inception and has become steadily weakened,"" the item said.

""The line was clearly built to a budget in the 1840s and the measures needed to compensate for its problematic location have only sporadically been implemented ever since.""

The article underlines how the UK's extreme winter weather has fast become a flashpoint in the debate over whether climate change is already affecting weather systems, and how governments should respond to it.

The debate is not just rhetorical for ministers such as the Liberal Democrat energy secretary, Ed Davey, whose multibillion pound programme of green energy subsidies is frequently attacked by Tory climate sceptics as a waste of money.

""We can see around us today the possible consequences of a world in which extreme weather events are much more likely,"" Mr Davey said in a speech on Thursday that accused Conservative party ""fringes"" of ""parroting the arguments of the most discredited climate change deniers"".

This ""wilfully ignorant, head in the sand, nimbyist conservatism"" was creating a ""diabolical cocktail"" threatening the UK's entire climate policy structure, he said.

His comments drew a swift riposte from Michael Fallon, Conservative energy minister, who told the Evening Standard: ""Unthinking climate change worship has damaged British industry and put up consumer bills.""

Mr Davey has made similar attacks in the past, but his comments may have more resonance at a time when the public is focused on the flooding that has submerged 5,800 homes and crippled rail networks.

The number of people who think the ""environment"" is the biggest cause of concern in the UK has jumped from 6 per cent to 23 per cent in a month - on a par with welfare - according to pollsters YouGov.

Still, this is unlikely to sway prominent Conservative climate policy critics such as Lord Lawson, the former Conservative Chancellor.

""There has been all sorts of bad weather in the past. This is nothing new,"" he told the FT yesterday, adding that neither he nor climate scientists really knew if the climate was changing.

""They don't know and I don't know. The jury is still out. It may change and it may not and if it does change we need to intelligently adapt to it, which is what mankind has done all along,"" he said.

""Every prediction so far that the alarmists have made has been falsified,"" he said, adding that while increased concentrations of carbon dioxide in the atmosphere undoubtedly warm the planet, it is unclear by how much, or how natural forces affect such changes.

Such claims are shared by other Tory MPs, such as Peter Lilley, and there is much speculation about whether Owen Paterson, the environment secretary, agrees.

According to sources inside Defra, the environment department, Mr Paterson does not even like to read documents which refer to ""climate change"" and often speaks passionately in favour of fracking at cabinet meetings.

David Cameron's beliefs remain inscrutable. On the one hand the prime minister was recently quoted as ordering officials to ""get rid of the green crap"" - in other words green subsidies - to get household bills down.

At the same time, however, he has approved huge new subsidies for renewables through the recent energy bill.

His deft footwork was on display at a press conference on Tuesday when he was asked whether he believed that climate change had caused the floods.

""I think the point I would make is whatever your view, clearly we have had and are having some pretty extreme weather,"" he said. ""So whatever your view about climate change, it makes sense to mitigate it and act to deal with that weather.""
"
FT-2014-15.txt,"  Sunday, February 16, 2014  
Financial Times (FT.com) • 407 words
  John Kerry warns on catastrophic climate change 
 By Ben Bland in Jakarta 


 John Kerry, US secretary of state,  has called on industrialised and developing nations to work together ""urgently"" to reduce carbon emissions if the world is to avoid the catastrophic impact of climate change.  Speaking in Jakarta, the Indonesian capital, on Sunday, Mr Kerry said that while industrialised nations, including the US, were responsible for much of the carbon emissions that are believed to cause climate change, developing nations did not have a ""free pass"" to follow the same path of development.  ""They don't have a right to go out and repeat the mistakes of the past,"" he said. ""It's not enough for one country or even a few countries to reduce their emissions when other countries continue to fill the atmosphere with carbon pollution as they see fit. At the end of the day, emissions coming from anywhere in the world threaten the future of people everywhere in the world.""  Mr Kerry, who is on a three-country tour of Asia to call for action on climate change and seek to ease maritime tensions in the region, is hoping to spur progress toward a stringent global deal to cut emissions through a series of bilateral agreements with major emitting nations such as China.  In Beijing on Saturday, he signed an agreement with China for the world's  two biggest economies to share information and discuss policies ahead of next year's UN climate change negotiations, that are meant to lay out the path for a new global agreement on climate change mitigation.  ""I'm pleased to tell you that the leaders of China agree that it is time to pursue a cleaner path forward,"" said Mr Kerry, noting that China and the US together account for 40 per cent of global emissions. ""We have hopes that this unique partnership between China and the US can help set an example for global leadership and global seriousness.""  Although the Obama administration has tried to push climate change mitigation up the domestic political agenda, it has faced heavy opposition from those who dispute both the cause of the phenomenon and arguments about the scale of the damage it will cause.  Mr Kerry hit out at these critics, saying that 97 per cent of scientists who have examined the issue agree that climate change is a real threat.     Indonesia, which is a major emitter of carbon because of rampant deforestation, is one the large emerging nations that is struggling to a find a balance between curbing emissions and promoting economic growth.  Mr Kerry said that people in Indonesia and elsewhere had to pressure their governments to act now before it is too late.  ""It is not a lack of ability that is a problem, it is a lack of political resolve that is standing in our way,"" he said. ""Today I call on all of you in Indonesia and concerned citizens around the world to demand the resolve that is necessary from your leaders.""    "
FT-2014-17.txt,"  Monday, February 17, 2014  
Financial Times • Asia Ed1 • p. 2 • 317 words 
 Kerry calls for action on climate threat  By Pilita Clark in London, Ben Bland in Jakarta and Clive Cookson in Chicago 

 John Kerry , US secretary of state,  has issued a plea for action on global warming, calling it as big a threat as terrorism and ""perhaps the world's most fearsome weapon of mass destruction"".  Speaking in Jakarta after the US and China announced fresh strides on jointly tackling climate change before a global summit next year, Mr Kerry hit out at ""a tiny minority of shoddy scientists"" and ""extreme ideologues"" trying to hijack the debate.  His comments come amid a spate of extreme weather events around the world, from heavy weekend snowfalls that killed a dozen people in Japan, to relentless US snow and ice storms; the hottest January on record in parts of Brazil and severe winter flooding in Britain.  The weather patterns have galvanised debate about the influence of global warming, with political figures such as Ed Miliband, the UK opposition leader, saying it has become a national security issue, while climate sceptics continue to question the science. Mr Kerry likened such views to those held by people who used to insist the earth was flat. ""The science is unequivocal, and those who refuse to believe it are simply burying their heads in the sand,"" he said.  Countries are preparing to negotiate a  firm global deal to curb warming at UN negotiations in Paris late next year. World leaders failed to achieve such an agreement at the Copenhagen summit in 2009.  The US and China will play a decisive role in the Paris outcome as they account for about 40 per cent of the carbon emissions linked to warming.  Mr Kerry said the US and China had made progress on a range of measures, including cutting heavy-duty vehicle emissions, capturing and storing carbon, and collecting data.  While precise details remain unclear, he said: ""I'm pleased to tell you that the leaders of China agree that it is time to pursue a cleaner path forward."" He added: ""We have hopes that it will help to set an example for global leadership.""  The US administration's credibility on climate change faces a big test in the coming months as it decides whether to approve the Keystone XL pipeline opposed by many environmentalists to bring Canadian crude to US refineries.  Mr Kerry's comments came as scientists studying the jet stream winds said the bad weather that has battered the US and UK this winter may persist for longer in future in patterns lasting weeks or months.   "
FT-2014-18.txt,"

Monday, February 17, 2014

Financial Times • London Ed1 • p. 2 • 425 words

Floods propel climate change
debate

By Jim Pickard and Pilita Clark

Miliband warns of complacencyHomes at risk set to double by 2020s

Nom de la source
Financial Times
Type de source
Presse • Journaux
Périodicité
Quotidien
Couverture géographique
Internationale
Provenance
Londres, Grand Londres, Royaume-Uni

The floods and storms of the past month have prompted a fresh Westminster row over climate change even as official figures predict the number of flood-prone homes will double to as many as 800,000 by the 2020s.

Ed Miliband, the Labour party leader, warned Britain yesterday it was ""sleepwalking into a national security disaster"" for failing to reach a political consensus, even though ""the science is clear"" on the reality of climate change .

Mr Miliband, who since 2010 has been quiet on the subject, has carefully timed his re-entry into the debate as thousands of households are flooded or without power. His comments seem to be a deliberate political salvo against the Conservatives, home to many climate change sceptics. Lord Lawson , the former Tory chancellor, told the Financial Times no one knew if the weather was changing.

""There has been all sorts of bad weather in the past. This is nothing new,"" he said. ""Every prediction so far that the alarmists have made has been falsified.""

Defra, the environment department, has predicted that the number of residential properties in England and Wales at ""significant likelihood of flooding"" will jump by the next decade. These affected homes will rise from 370,000 to 500,000-800,000, the ministry wrote in the small print of its climate change assessment report in 2012.

The department said the forecast was based on a scenario with no preventive action. ""We are investing heavily in flood defences.""

Amid calls for ministers to reconsider the number of homes being built on flood plains, Mark Wilson, chief executive of insurer Aviva, called in The Sunday Telegraph for houses to be given a ""flood rating"", so that potential buyers were made aware of the risk.

Insurers have paid out more than £5bn to British homes and companies hit by flooding since 2000, compared with just £1.5bn in real terms over the previous decade. Today, David Cameron will unveil a £10m package of support to help small and medium-sized companies meet clean-up costs and keep trading after the storms.

Guy Shrubsole, a campaigner at Friends of the Earth, said Defra's own figures suggested the problem would only worsen, with even more pressure on insurers and households.

Mr Miliband's intervention underlines how the extreme winter weather has fast become a flashpoint in the debate on climate change. The debate is not just rhetorical for ministers such as Ed Davey, the Liberal Democrat energy secretary, whose multibillion-pound programme of green energy subsidies is often attacked by Tory sceptics.

""We can see around us today the possible consequences of a world in which extreme weather events are much more likely,"" Mr Davey said last week.

His comments drew a swift riposte from Michael Fallon, the Conservative energy minister, who said: ""Unthinking climate change worship has damaged British industry and put up consumer bills.""

But the number of people who think the ""environment"" is the biggest cause of concern has jumped from 6 per cent to 23 per cent in a month, according to pollsters YouGov.

"
FT-2014-19.txt,"  Wednesday, February 26, 2014  Financial Times (FT.com) • 362 words 
 Climate change one of 'most serious threats' we face, says Cameron 
 By Pilita Clark, Environment Correspondent 


 Man-made climate change is  among the greatest threats confronting the world, David Cameron declared on Wednesday, as prominent members of his party launched a drive to reclaim the environment as a Conservative political issue.  Pressed in the House of Commons to explain why he was happy to have ""climate change deniers"" in his cabinet, the prime minister gave one of his most forthright statements yet on the risks posed by global warming.  ""I believe man-made climate change is one of the most serious threats that this country and this world faces,"" he said, a comment that jars with the beliefs of some Tory party members who question the dangers posed by a changing climate.  Nigel Lawson, the former chancellor, and Peter Lilley, Conservative MP, are among those who share such views and it is often claimed that Owen Paterson, the environment secretary, agrees with them.  However, Mr Paterson is one of 14 contributors to a booklet launched at Westminster on Wednesday by the Conservative Environment Network, a body that argues it is wrong to equate environmentalism with the left.  Other contributors include education secretary, Michael Gove; Kathryn Murdoch, wife of Rupert Murdoch's son, James; former New York City mayor Michael Bloomberg and Unilever chief executive, Paul Polman.  Mr Gove, who was last year accused of allowing climate change to be downgraded in the national schools curriculum, told the launch event that it was clear that man has an impact on the climate and ""unarguable"" that climate change can have a ""devastating and wrenching impact on societies"".  He added that Conservative leaders had long sought to protect the natural environment, from Anthony Eden's Clean Air Act to the drive against sulphur emissions led by Margaret Thatcher, also a vigorous backer of climate research.  However, Tory backbencher, Zac Goldsmith, said it would be dishonest to ignore the fact that this momentum had slowed, largely because of what he said was the ""unhelpful rhetoric we're seeing at all levels of the party"".  His brother, financier Ben Goldsmith, who chairs the network, told the Financial Times that he believed climate change deniers were becoming a dwindling minority as the science grew more or less indisputable.   ""If Nigel Lawson was told the aeroplane he was about to board had a 5 per cent or 10 per cent or 15 per cent chance of crashing, he wouldn't board it,"" he said.  ""So the idea of purchasing an insurance policy [against climate change] is becoming more and more obvious to people and moreover, more and more people are realising it's not actually a purchase, it's an investment that is going to yield us a financial return so I think the climate argument is going to win itself.""   "
