Newspaper,Edition,Section_Date_Page,Title,Author,Content
Financial Times,London Ed1,"COMPANIES - UK, Tuesday, January 8, 2008 234 mots, p. Page 21",,,"By PAN KWAN YUK

Strong demand for solar energy, triggered by concerns about global warming and oil prices, lifted profits at PV Crystalox Solar.

The company, one of the biggest manufacturers of silicon components for the solar electricity generation industry, said it expected 2007 profit to be ahead of analysts' estimates after ""a strong financial performance"" at the end of the year.

Earnings before interest and tax, excluding one-time costs, would not be less than Euros 70m (Pounds 52.2m) for the year to December 31, it said. Analysts had expected the company to report Ebit of about Pounds 46m for 2007.

Iain Dorrity, chief executive, said interest in renewable energy had grown rapidly as governments pushed companies to reduce carbon emissions and oil prices had climbed. ""The outlook for the industry is very good,"" he said. ""Demand shows no sign of abating.""

The European Photovoltaic Industry Association estimates the global market for solar power, measured by sales, will grow by an average of 37 per cent a year through to 2010.

Established in 1982, when the solar market was very small, PV Crystalox became the UK's largest solar energy float when its shares joined the main market last June.

The company exports 75 per cent of its products to Japan, where its biggest customer is Sharp. The rest is sold in Europe.

The company said the limited availability of feedstock was the only limitation in meeting demand for the multicrystalline silicone wafers used in solar electricity generation.

A new factory in Germany is expected to give the company its own source of silicon from 2009.

Shares in PV Crystalox Solar fell 2p to 153 1/2p. They are still trading 18 per cent above the 130p float price."
"WORLD NEWS, Monday, February 18, 2008 141 mots, p. Page 2",,EU heavy industry seeks 'certainty' on climate change,By NIKKI TAIT,,"Heavy industry in the European Union must be told as soon as possible whether it will continue to receive pollution permits for free, France and Germany have warned, writes Nikki Tait in Brussels.

Paris and Berlin are among seven capitals to have written to Brussels urging clarity on the overhaul of the bloc's emissions trading scheme. The move reflects the challenge raised by the EU's efforts to fight climate change and cut greenhouse gas emissions.

The letter, sent on Friday to both the European Commission and the Slovenian EU presidency, is signed by Christine Lagarde, France's economy minister, and Michael Glos, minister for economic affairs in Germany, among others.

Other supporters include Austria, Luxembourg, Finland, Hungary, and the Czech Republic.

The countries say industries - especially those that are energy-intensive - need more clarity on their contribution to climate change measures.

""Medium and long-term investment planning requires certainty on the future framework as soon as possible,"" they say."
"NATIONAL NEWS, Tuesday, February 19, 2008 345 mots, p. Page 4",,Top executives slow to adopt climate change strategy,By JOHN WILLMAN,,"Very few senior executives have a strategy in place for dealing with climate change, despite the overwhelming view that it is a serious issue for business, a survey has found.

Most top executives in the survey were not aware that the government had committed itself to a 60 per cent reduction in greenhouse gas emissions by 2050.

The findings also showed half the corporate leaders thought the government was doing too little to educate business on how to tackle climate change.

Carried out by YouGov Stone for KPMG, the study also found the number of executives who think climate change a significant issue rose sharply last year, from 52 per cent in May to 85 per cent six months later.

Three-quarters of the 200 corporate leaders - from the FTSE-350 and similar-sized private companies - thought climate change would grow in importance as an issue over the next few years.

Seventy per cent said reducing greenhouse gas emissions was the most important method of reducing global warming, while 76 per cent said businesses and individuals needed to change the way they worked and lived and take steps to tackle climate change

However, the number with a clear strategy for tackling climate change increased much less over the period, from 14 to 17 per cent.

While 40 per cent in the latest survey said they felt they had a good understanding of the issue and were working on a strategy, 36 per cent had only a vague or no understanding and 6 per cent did not believe climate change was happening.

A third of the companies had not put climate change on their board's agenda, while a fifth said it was unlikely to be discussed by the board in the near future.

The most popular measure for tackling climate change was recycling and using recycled products - adopted by more than three-quarters of the companies. Two-thirds were using energy-efficient appliances, and half were educating and training staff on environmentally friendly business practices.

Just 22 per cent were aiming for carbon neutral status, while 31 per cent were reviewing their business model in the light of climate change. ""Our survey shows the majority of business leaders still don't treat climate change as an economic issue that can have an impact on the bottom line,"" said Richard Sharman, head of KPMG's carbon advisory group.

""Knowing your carbon number is becoming a key performance indicator that employees, regulators and shareholders demand accuracy and assurances on."""
"COMMENT, Thursday, February 28, 2008 642 mots, p. Page 13",,Stop penalising consumers for climate change,By DAVID HOWELL,,"T he campaign for a sustainable, low-carbon future is not going well. A Norwegian Arctic measuring station last week reported that carbon dioxide levels in the atmosphere had reached a new peak, at 394 parts per million, heading for the danger levels at which we are told violent climate change will set in.

Meanwhile, an FT/Harris poll tells us that two-thirds of western European consumers are reluctant to pay more on their sky-high energy bills to cut emissions and subsidise renewables, while European industry's grumbles at the prospect of higher energy costs and even more ferocious lower-cost competition from Asia are growing louder.

And although China and India are worried about the long-term impact of global warming, their colossal programmes of coal-fired power stations are going ahead as fast as ever, guaranteeing that, however virtuous the western example, CO 2 will continue to rise fast in the atmosphere.

What is going wrong? The green establishment, which has captured the attention of policy-thinkers and makers, has a simple explanation - market failure. Its ""answer"" is more taxes, penalties and charges on the demand side and more public spending on the supply side. But it is not working. People are duly worried about the planet's future, but when it comes to action their concerns are more immediate - how to stay warm and pay utility bills; how to keep down manufacturing costs in the west; and, in the poorer half of the world, how to find food and water, how to lift themselves out of poverty and achieveeconomic growth - based on plentiful cheap energy.

The grand ""penalise and subsidise"" strategy, proclaimed at global gatherings and by the European Commission, is therefore in serious danger of hitting a political brick wall. When long-term aspiration meets short-term desperation the outcome is predictable. The speeches will be made, the targets will be set, the elaborate schemes for pricing carbon will be promulgated,large sums of public money will be spent. But carbon levels will go on rising and the sustainable planetary future will remain out of reach.

Might it not be time to pause and listen to voices telling us that the whole approach badly needs changing?

Step one would be to prevent ministers talking about the extra power bills it is our painful duty to pay and start offering an immediate future of lower energy costs. The need is to associate a greener future not with still higher gas and electricity bills, or with dubious payback calculations decades ahead, but with lower utility bills now.

Step two is to let Dollars 100 oil do the ""taxing"" and incentivising. No further green consumer taxes - over and above the already ferocious ones on petrol - are required. The driving factor is that this time (as opposed to experience in the 1980s) oil will stay expensive.The private sector will research, develop and deliver the biofuels that make commercial and environmental sense.

The same goes for wind farms, for which the UK consumer is paying some of the highest subsidies in Europe on their already inflated electricity bills - with questionable results. Markets will filter out the unprofitable wind projects and leave the few good ones to make money. The same goes for new nuclear power. Press the nuclear industry to compete and deliver even safer plants, built more quickly and with less toxic waste, and it will do so - maybe with a bit of planning help but without levies on the already overlevied consumer.

Step three - probably the least popular in some circles - is to face the fact that the multiple opportunities for innovation and development in low and clean energy are going to come from private sector technology and privately financed research. Government-funded research will make the wrong choices and crowd out the market winners.

There are hundreds of new energy and energy-saving technologies ready to be marketed as demand grows in richer societies for cleaner energy. By all means rejig the tax systems to make ""green"" commercial innovations increasingly attractive, but at all cost avoid subsidising energy scams such as dubious carbon offsetting schemes.

The renewables that can survive only on subsidy and the technologies that get by only on ill-judged government grants are delaying and crowding out the real advance towards a low-carbon world. And the levies, fines and taxes being piled on to users to finance them are turning what ought to be a positive cause into one that is not only negative in its appeal but certain to founder in face of political obstacles.

Lord Howell is deputy leader of the opposition in the Lords, foreign affairs spokesman and former energy secretary"
"COMMENT, Friday, February 29, 2008 580 mots, p. Page 11",,"If climate sceptics are right, it is time to worry",By PAUL KLEMPERER,,"Al Gore says the science on global warming is clear and there is a major problem. Vaclav Klaus, Czech president, contends that climate change forecasts are speculative and unreliable. Whose claims are scarier?

Of course, Mr Klaus exaggerates (he is a politician) but if he is partly right, we should be more concerned, not less. Consider an analogy. If, like many of my neighbours in Oxford, you believe that new building exacerbates flooding, how would you feel if models that predicted bad news were discredited?

It depends. If the original models were biased, your best guess of the height of future floods is now lower. But if the models merely underestimated the uncertainty, the range of plausible outcomes is now greater, so flood defences would need to be higher for us to feel safe.

Likewise, if our understanding of climate systems is flawed, our best guess about the dangers we face may be less pessimistic, but extreme outcomes are more likely.

Mr Klaus is probably right that there are fewer certainties than many claim. Even commentators who support the conclusions of the Intergovernmental Panel on Climate Change point to methodological weaknesses in its economics. A High Court judge recently required that a list of ""scientific errors"" be sent to schools that show Mr Gore's remarkable polemic, An Inconvenient Truth - confirming the impression that the film goes some way beyond established facts (Mr Gore is also a politician).

But we hardly need Mr Klaus to teach us that experts' models can be incomplete and a strong consensus can be badly flawed. Financial Times readers do not need reminding that, only last summer, hedge fund managers found their stock market models' predictions were, in their own words, ""25 standard deviations"" from the outcomes; that, less than two years ago, a new drug nearly killed six human volunteers in tests in London, even though the dose was 1-500th of the amount administered to animals; or that it was a complete ""out of model"" surprise to biologists that feeding bonemeal to cattle would cause an epidemic of mad cow disease.

How confident can we be about the way a system as complex as earth will respond to conditions it has never encountered before? Although greater uncertainty means climate change might be less bad than we fear - for example, an ""iris"" effect means increases in cloud cover may slow global warming - it also means it might be much worse. While the central predictions of climate change models are arguably not so much worse than many other difficult problems the world faces, the worst possibilities are far, far nastier.

Consider the ""clathrate gun hypothesis"" that warming seas could lead to clathrates (the frozen chunks of methane at the bottom of the sea) exploding into the air, which is what might have caused mass extinction at the end of the Permian era. Or the concern that the carbon dioxide could cause hydrogen sulphide gas to build up first in the oceans then in the atmosphere, exterminating most of life (and potentially also attacking the ozone layer, permitting the sun's ultraviolet radiation to kill remaining life) - this, too, has been blamed for previous mass extinctions.

I am not losing any sleep about these specific scenarios. In part that is because they seem so improbable (in spite of Mr Klaus's eloquent expositions of how little we really know). But it is also because the fact that we have already thought of these risks means that, if it becomes necessary, we probably have time to organise a last-ditch geoengineering solution (seeding the ocean with an antidote, for example) that would at least mitigate the very worst consequences.

But what of completely unanticipated possibilities? Even Donald Rumsfeld, former US defence secretary, understood that it is the ""unknown unknowns"" that should really worry us. Serious scientists worry that feedback effects such as release of methane from the Siberian permafrost (or those underwater clathrates), or reductions in the earth's reflectivity due to polar ice loss, could cause

runaway greenhouse warming, with unforeseeable outcomes that would look like bad science fiction from today's perspective.

The continuing scientific uncertainty about the pace of climate change should make us more concerned, not less. And it is those who doubt the climatologists' models who should be the most frightened.

The writer is Oxford university's Edgeworth professor of economics"
"WORLD NEWS, Monday, March 3, 2008 183 mots, p. Page 2",,Climate change poses 'security risk',By ANDREW BOUNDS,,"Climate change poses ""serious security risks"" and fighting it should be part of ""preventive security policy"", according to the European Union's top diplomats, writes Andrew Bounds in Brussels.

The warning is contained in a paper prepared for an EU summit this month by Javier Solana, the bloc's foreign policy chief, and Benita Ferrero-Waldner, external relations commissioner.

The paper, seen by Financial Times Deutschland and the FT, says increased natural disasters and shortages of water, food and other resources in the developing world could affect European security.

The threat of water wars is particularly grave in the Middle East. Two-thirds of the Arab world relies on external supplies.

""Existing tensions over access to water are almost certain to intensify in the region, leading to further political instability with detrimental implications for Europe's energy security and other interests. Water supply in Israel might fall by 60 per cent over this century,"" the paper says.

It anticipates falling harvests in Turkey, Iraq, Syria and Saudi Arabia, creating instability there.

""Climate change will fuel conflicts over depleting resources, especially where access to those resources is politicised,"" it says, citing the fighting in Darfur.

It points to seven threats, including disappearing islands and coastlines, increased migration, a new scramble for resources in the Arctic and greater competition for access to energy."
"WORLD NEWS DIGEST, Tuesday, March 4, 2008 123 mots, p. Page 4",,Transport hinders EU climate policy,By ANDREW BOUNDS,,"Europe cannot win the fight against climate change unless it ends its love affair with cars and planes, a top European Union agency warned yesterday.

The European Environment Agency said that the EU would have hit its Kyoto protocol target of cutting greenhouse gas emissions 8 per cent between 1990 and 2012 years ago had it not been for the fast increase from transport. All other sectors of the economy cut emissions between 1990 and 2005, its report said, while transport grew 26 per cent.

""Transport has been a free-rider for too long when it comes to the fight against global warming and carbon emissions,"" said Jacqueline McGlade, chief executive of the agency.

She said investment was still skewed towards roads and airports rather than rail and sea.

Andrew Bounds, Brussels"
"LETTERS TO THE EDITOR, Thursday, March 6, 2008 247 mots, p. Page 10",,We support EU targets on climate change action,,,"Sir, As members of the EU Corporate Leaders Group on Climate Change (the EU CLG) we feel we must point out that not all industrial leaders are critical of the European Union's targets to cut carbon emissions by 20 per cent, generate 20 per cent of energy from renewables and improve energy efficiency by 20 per cent by 2020 (""Sarkozy given emissions challenge"", February 27).

We believe the benefits of strong, early action on climate change outweigh the costs of not acting, and we support these targets. Furthermore, just last month, the group offered its support for the European Commission's climate and energy package of policy proposals. We congratulate Commission president Jose Manuel Barroso's leadership on this issue and we welcome the determination already shown by Nicolas Sarkozy to secure an agreement on this package during the French presidency of the EU.

Our vision is for the EU to meet its 2020 targets in a way that provides long-term economic and competitive benefits for European business. In doing so, the EU will demonstrate to the world that tackling climate change is the pro-growth strategy."
"COMPANIES - INTERNATIONAL, Monday, March 10, 2008 338 mots, p. Page 21",,US airlines pressed on climate change,By JONATHAN BIRCHALL,,"US airline companies are facing shareholder resolutions on climate change for the first time this year.

This reflects the spread of investor concerns over environmental risks, which were previously focused largely on the power and energy -sectors.

US Airways and SouthWest Airlines are both facing resolutions that call on them to report on strategies for reducing greenhouse gas emissions.

A similar resolution against Continental Airlines has been withdrawn, after the company agreed to respond.

The airlines join retailers such as Best Buy, RiteAid and Kroger and home building companies Standard Pacific and Centex, which are also being asked to give details of their efforts to assess and reduce their output of greenhouse gas.

The resolutions are among 54 climate change-related resolutions filed by investors this year.

This is more than double the number filed two years ago, according to Mindy Lubber of Ceres, a non-profit partnership of investors and environmental groups.

""The bottom line is the growing interest in investors and their need for this kind of information . . . investors need this information in order to make smart investment decisions,"" said Ms Lubber.

Calstrs, the powerful California teachers' retirement fund, has also filed its first climate-change resolutions this year.

These are aimed at Dynegy, the power company, and Oneok.

ConocoPhillips and Chevron, the oil and gas companies, are also facing new resolutions reflecting concern about the environmental impact of oil sands mining in Canada.

Citigroup will face a resolution calling on it to end financing of ""mountain top removal"" coal mining, and for coal-fired power plant projects.

Bank of America won approval from the Securities and Exchange Commission to reject a similar proposal.

More than a dozen of the resolutions have been withdrawn so far, after companies responded to the issues raised.

Four have been blocked by the SEC in response to company claims that they had interfered in ""ordinary business"".

Last year, 43 similar shareholder resolutions secured an average 21 per cent of shareholders' votes.

Laura Shaffer, of the Nathan Cummings Foundation, which has filed resolutions, calling on US homebuilders to report on efforts to increase energy efficiency in their houses, said the sector had yet to respond to concerns about the environment.

""At this point the industry as a whole is not doing so much disclosure,"" she said.

In September, 11 state institutional investors joined a petition calling on the SEC to require companies to report regularly on how climate change may affect their business."
"WORLD NEWS, Tuesday, March 11, 2008 425 mots, p. Page 8",,Climate change 'threatens' Europe's energy resources,By TONY BARBER,,"Climate change poses serious security risks for the European Union, ranging from sharper competition for global energy resources to the arrival of numerous ""environmental migrants"", warns a report prepared for an EU summit this week.

""The core challenge is that climate change threatens to overburden states and regions which are already fragile and conflict-prone,"" says the report, drafted by Javier Solana and Benita Ferrero-Waldner, the EU's two highest-level foreign policy officials.

Leaders of the 27-nation bloc are expected to endorse the report's conclusions at their summit in Brussels on Thursday and Friday and to ask for recommendations for follow-up action by December at the latest.

The report is the EU's first in-depth study of the impact of global warming on the bloc's foreign and security policies. It identifies several regions where climate change appears all too likely to threaten the EU's security or damage its political and economic interests.

In the Middle East, for example, ""existing tensions over access to water are almost certain to intensify . . . leading to further political instability with detrimental implications for Europe's energy security and other interests"".

The report hints at possible problems with Russia over the Arctic's vast energy and mineral reserves, recalling how Russian scientists last year planted a Russian flag on the seabed under the North Pole. ""A further dimension of competition for energy resources lies in potential conflict over resources in Polar regions which will become exploitable as a consequence of global warming,"" the report says.

It says the EU must expect a substantial increase in the number of migrants attempting to enter the EU, because millions of people will flee poverty, political and ethnic conflicts, ill health and environmental damage in other parts of the planet, especially Africa.

Higher temperatures, less rainfall, rising sea levels and worse harvests are increasing migratory pressures from Africa to Europe, the report says. ""Already today climate change is having a major impact on the conflict in and around Darfur.""

As global warming submerges land, perhaps even causing some island states to disappear, and as coastlines recede, ""more disputes over land and maritime borders and other territorial rights are likely"", the report predicts.

It warns of environmental disasters and humanitarian crises in Asia, the Caribbean and Central America that will place ""immense pressure on the resources of donor countries"" such as the EU's member-states.

Competition for resources will intensify because of ""reduction of arable land, widespread shortage of water, diminishing food and fish stocks, increased flooding and prolonged droughts"", it says.

Climate change could also fuel conflicts between ethnic and religious groups, make populations more radical in their political views and make it harder for the EU to uphold its vision of a rule-based international order.

""The multilateral system is at risk if the international community fails to address the threats. Climate change impacts will fuel the politics of resentment between those most responsible for climate change and those most affected by it...and drive political tension nationally and internationally,"" the report warns."
