,Source,Content
0,IPCC-2007-1.txt,"A report of Working Group I of the Intergovernmental Panel on Climate Change  Introduction The Working Group I contribution to the IPCC Fourth Assessment Report describes progress in understanding of the human and natural drivers of climate change,1 observed climate change, climate processes and attribution, and estimates of projected future climate change"
1,IPCC-2007-1.txt, It builds upon past IPCC assessments and incorporates new findings from the past six years of research
2,IPCC-2007-1.txt," Scientific progress since the Third Assessment Report (TAR) is based upon large amounts of new and more comprehensive data, more sophisticated analyses of data, improvements in understanding of processes and their simulation in models and more extensive exploration of uncertainty ranges"
3,IPCC-2007-1.txt, The basis for substantive paragraphs in this Summary for Policymakers can be found in the chapter sections specified in curly brackets
4,IPCC-2007-1.txt," Human and Natural Drivers of Climate Change Changes in the atmospheric abundance of greenhouse gases and aerosols, in solar radiation and in land surface properties alter the energy balance of the climate system"
5,IPCC-2007-1.txt," These changes are expressed in terms of radiative forcing,2 which is used to compare how a range of human and natural factors drive warming or cooling influences on global climate"
6,IPCC-2007-1.txt," Since the TAR, new observations and related modelling of greenhouse gases, solar activity, land surface properties and some aspects of aerosols have led to improvements in the quantitative estimates of radiative forcing"
7,IPCC-2007-1.txt,"  Global atmospheric concentrations of carbon dioxide, methane and nitrous oxide have increased markedly as a result of human activities since 1750 and now far exceed pre-industrial values determined from ice cores spanning many thousands of years (see Figure SPM"
8,IPCC-2007-1.txt," The global increases in carbon dioxide concentration are due primarily to fossil fuel use and land use change, while those of methane and nitrous oxide are primarily due to agriculture"
9,IPCC-2007-1.txt,"3, 6"
10,IPCC-2007-1.txt,"4, 7"
11,IPCC-2007-1.txt,3} - Carbon dioxide is the most important anthropogenic greenhouse gas (see Figure SPM
12,IPCC-2007-1.txt, The global atmospheric concentration of carbon dioxide has increased from a pre-industrial value of about 280 ppm to 379 ppm3 in 2005
13,IPCC-2007-1.txt," The atmospheric concentration of carbon dioxide in 2005 exceeds by far the natural range over the last 650,000 years (180 to 300 ppm) as determined from ice cores"
14,IPCC-2007-1.txt, The annual carbon dioxide concentration growth rate was larger during the last 10 years (1995-2005 average: 1
15,IPCC-2007-1.txt,"9 ppm per year), than it has been since the beginning of continuous direct atmospheric measurements (1960-2005 average: 1"
16,IPCC-2007-1.txt,4 ppm per year) although there is year-to-year variability in growth rates
17,IPCC-2007-1.txt,"3, 7"
18,IPCC-2007-1.txt,"3} - The primary source of the increased atmospheric concentration of carbon dioxide since the pre-industrial period results from fossil fuel use, with land-use change providing another significant but smaller contribution"
19,IPCC-2007-1.txt, Annual fossil carbon dioxide emissions4 increased from an average of 6
