,Sentences,Sentiments
0,G.1,27
1,GLOSSARY,27
2,Glossary,27
3,G.2 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
4,Accuracy,27
5,"A relative measure of the exactness of an emission or removal estimate. Estimates should be accurate in the sense that they are systematically neither over nor under true emissions or removals, so far as can be judged. Activity",27
6,A practice or ensemble of practices that take place on a delineated area over a given period of time. Activity data,27
7,"Data on the magnitude of a human activity resulting in emissions or removals taking place during a given period of time. Data on energy use, metal production, land areas, management systems, lime and fertilizer use and waste arisings are examples of activity data. Agricultural pond",27
8,An artificial storage containing water for agricultural (irrigation) or pastoral (stock watering) uses. They are typically unlined and constructed using a combination of earthen embankments and the natural topography on the landscape. They can range in size from very small farm dams (< 50 m2) to very large (> 10 km2). Allochthonous,27
9,Material or formation originating outside the water body. Allometric model,27
10,A formula that quantitatively describes an allometric relationship. Allometry,27
11,The relative dimensional relationships between body parts that grow at different rates. Anaerobic,27
12,"Conditions in which oxygen is not readily available. These conditions are important for the production of methane emissions. Whenever organic material decomposes in anaerobic conditions (in landfills, flooded rice fields, etc.) methane is likely to be formed. Andosol",27
13,A soil developed in volcanic ash. Generally andosols have good drainage and are prone to fertility problems. Approaches to consistent representation of lands,27
14,"Approach 1: Represents land-use area totals within a defined spatial unit, which is often defined by political boundaries, such as a country, province or municipality. Approach 2: The essential feature of Approach 2 is that it provides an assessment of both the net losses or gains in the area of specific land-use categories and what these conversions represent (i.e., changes both from and to a category). Thus, Approach 2 differs from Approach 1 in that it includes information on conversions between categories, but is still only tracking those changes without spatially-explicit location data, often based on political boundaries (i.e., locations of specific land-use and land-use conversions are not known). Approach 3: The key defining characteristic of Approach 3 is that it is both spatially and temporally consistent and explicit. Sample-based, survey-based and wall-to-wall methods can be considered Approach 3 depending on the design of the sampling/mapping program and the way the data is processed and analysed. Aquaculture pond",27
15,An artificial storage containing water for the production of aquatic animals or plants. They are typically unlined and constructed using a combination of earthen embankments and the natural topography on the landscape. They can range in size from (< 50 m2) to (> 10 km2). Arithmetic mean,27
16,The sum of the values divided by the number of values. Auto producer,27
17,"An enterprise which generates electricity or heat for its own use and/or sells it as a secondary activity i.e., not as its main business. Autochthonous",27
18,Material or formation originating from inside the water body. G.3,27
19,Back-casting,27
20,The opposite of forecasting. Predicting conditions in the past from current conditions. Backflows,27
21,By-product oils from petrochemical processing of refinery products which are generally returned to the refinery for further processing into petroleum products. Base year,27
22,The starting year for the inventory. Currently this is typically 1990. Benthic chlorophyll,27
23,An indicator of the eutrophication status of a water body based on the presence of microalgae at the sediment-water interface at the bottom of the water body. Bias,27
24,"A systematic error of the observation and estimation method, whose magnitude in most cases is unknown. It can be introduced by using measuring equipment that is improperly calibrated, by selecting items from a wrong population or by favouring certain elements of a population, etc. For example: Estimating the total fugitive emission from gas transport and distribution using only measurements of leakage from high/medium pressure pipelines can lead to bias if the leakage in the lower pressure distribution network (which is significantly more difficult to measure) is neglected. Biochar",27
25,"For the purpose of this report, biochar is defined as a solid material generated by heating biomass to a temperature in excess of 350 °C under conditions of controlled and limited oxidant concentrations to prevent combustion. These processes can be classified as either pyrolysis (in which oxidants are excluded), or gasification (in which oxidant concentrations are low enough to generate syngas). Bioenergy",27
26,Energy derived from any form of biomass. Biofuels,27
27,"Any fuels derived from biomass, either deliberately grown or from waste products. Peat is not considered a biofuel in these guidelines due to the length of time required for peat to re-accumulate after harvest. Biogenic carbon",27
28,Carbon derived from biogenic (plant or animal) sources excluding fossil carbon. Note that peat is treated as a fossil carbon in these guidelines as it takes so long to replace harvested peat. Biological treatment of waste,27
29,"Composting and anaerobic digestion of organic wastes, such as food waste, garden/park waste and sludge, to reduce volume in the waste material, stabilisation of waste, and destruction of pathogens in the waste material. This includes mechanical-biological treatment. Biomass",27
30,"(1) The total mass of living organisms in a given area or of a given species usually expressed as dry weight. Includes above and below ground living biomass. (2) Organic matter consisting of or recently derived from living organisms (especially regarded as fuel) excluding peat. Includes products, by-products and waste derived from such material. Blowing agent (for foam production)",27
31,"A gas, volatile liquid, or chemical that generates gas during the foaming process. The gas creates bubbles or cells in the plastic structure of a foam. Bootstrap technique",27
32,Bootstrap technique is a type of computationally intensive statistical method which uses repeated resampling with replacement from a set of data to assess variability of parameter estimates. Bootstrap technique is a specific case of a Monte Carlo method. Boreal,27
33,See polar/boreal. Glossary,27
34,G.4 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
35,Calcium carbide,27
36,"Calcium carbide is used in the production of acetylene, in the manufacture of cyanamide (a minor historical use), and as a reductant in electric arc steel furnaces. It is made from calcium carbonate (limestone) and carbon-containing reductant (e.g., petroleum coke). Canal",27
37,"An artificial waterway typically constructed with a uniform cross-section to provide navigation or to transport water for irrigation, hydropower, town water supplies, etc. They may be earthen structures or they may have concrete linings. “Canals are generally long and narrow, with a uniform width and depth, and have a single outlet.” <<https://www.ramsar.org/news/ramsar-topics-report-on-canal-estates>>",27
38,Carbon budget,27
39,"The balance of the exchanges of carbon between carbon pools or within one specific loop (e.g., atmosphere – biosphere) of the carbon cycle. This is a generic definition of “carbon budget” in the context of national greenhouse gas inventories. This term may be defined with other specific meaning in the other context. (For example, see the Glossary of IPCC Special Report “Global Warming of 1.5°C”). Carbon dioxide equivalent emission",27
40,"The amount of carbon dioxide (CO2) emission that would cause the same integrated radiative forcing or temperature change, over a given time horizon, as an emitted amount of a greenhouse gas (GHG) or a mixture of GHGs. There are a number of ways to compute such equivalent emissions and choose appropriate time horizons. Most typically, the CO2-equivalent emission is obtained by multiplying the emission of a GHG by its global warming potential (GWP) for a 100-year time horizon. Carbon sequestration",27
41,The process of storing carbon in a carbon pool. Category,27
42,"Categories are subdivisions of the four main sectors Energy; Industrial Processes and Product Use (IPPU); Agriculture, Forestry and Other Land Use (AFOLU); and Waste. Categories may be further divided into sub-categories. For details, see Chapter 8 of Volume 1. Census",27
43,A census is a survey conducted on the full set of observation objects belonging to a given population or universe. Channel,27
44,"A generic term for a waterway that encompasses creeks, streams, rivers, canals, ditches etc., as applied in the AFOLU sector for national greenhouse gas inventories. Chlorofluorocarbons (CFCs)",27
45,"Halocarbons containing only chlorine, fluorine, and carbon atoms. CFCs are both ozone-depleting substances (ODSs) and greenhouse gases. Chronosequence",27
46,"Chronosequences in this report are used in the context of the AFOLU sector, and consist of a temporal sequence in land use or management, for example, years since deforestation, which are used to evaluate change over time. Efforts are made to control all other between-site differences (e.g., by selecting areas with similar soil type, topography, previous vegetation). Chronosequences are often used as a surrogate for experimental studies or measurements repeated over time at the same location. Climate sub-domain",27
47,A subset of a climate zone into which lands may be grouped for the purposes of inventory calculations. Used to provide finer resolution of climate gradients within one of the six climate zones. Co-digestate,27
48,"Supplemental material added to anaerobic digesters, in addition to the main digestion material (manure in the case of agricultural digesters) to increase methane yield. G.5",27
49,Coefficient of variation,27
50,"Statistical definition: The coefficient of variation, vx is the ratio of the population standard deviation, σx, and mean, μx, where vx = σx /μx. It also frequently refers to the sample coefficient of variation, which is the ratio of the sample standard deviation and sample mean.1",27
51,Cogeneration,27
52,See: Combined Heat and Power (CHP) generation. Combined heat and power (CHP),27
53,"Combined heat and power (CHP), also known as cogeneration, is the simultaneous production of both electricity and useful heat for application by the producer or to be sold to other users with the aim of better utilisation of the energy used. Public utilities may utilise part of the heat produced in power plants and sell it for public heating purposes. Industries as auto-producers may sell part of the excess electricity produced to other industries or to electric utilities. Comparability",27
54,"Comparability means that estimates of emissions and removals reported by countries in inventories are comparable among countries. For this purpose, countries should use agreed methodologies and formats for estimating and reporting inventories. Completeness",27
55,Completeness means that an inventory covers all sources and sinks and gases included in the IPCC Guidelines for the full geographic coverage in addition to other existing relevant source/sink categories which are specific to individual countries (and therefore may not be included in the IPCC Guidelines). Confidence,27
56,"The term ‘confidence’ is used to represent trust in a measurement or estimate. Having confidence in inventory estimates does not make those estimates more accurate or precise; however, it will eventually help to establish a consensus regarding whether the data can be applied to solve a problem. This usage of confidence differs substantially from the statistical usage in the term confidence interval. Confidence interval",27
57,"A confidence interval (CI) is a type of interval estimate, computed from the statistics of the observed/estimated data, that might contain the true value of an unknown population parameter. The interval has an associated confidence level that quantifies the level of confidence that the parameter lies in the interval. Most commonly, the 95 per cent confidence level is used. Consistency",27
58,Consistency means that an inventory is internally consistent in all its elements over a period of years. An inventory is consistent if the same methodologies are used for the base year and all subsequent years and if consistent data sets are used to estimate emissions or removals from sources or sinks. An inventory using different methodologies for different years can be considered to be consistent if it has been estimated in a transparent manner taking into account the guidance in Volume 1 on good practice in time series consistency. Correlation,27
59,Mutual relationship between two quantities. See correlation coefficient. Correlation coefficient,27
60,"A number lying between –1 and +1, which measures the mutual relationship between two variables that are observed together. A value of +1 means that the variables have a perfect linear relationship; a value of –1 means that there is a perfect inverse linear relation; and a value of 0 means that there is no straight line relation. It is defined as the covariance of the two variables divided by the product of their standard deviations. Country-specific data",27
61,"Data for either activities or emission factors that are based on research carried out on sites either in that country or otherwise representative of that country. 1 ‘Coefficient of variation’ is the term, which is frequently replaced by ‘error’ in a statement like ‘the error is 5%’. Glossary",27
62,G.6 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,27
63,Cruise,27
64,"(When applied to aircraft) All aircraft activities that take place at altitudes above 914 metres (3,000 feet) including any additional climb or descent operations above this altitude. There is no upper limit. Dam",27
65,An artificial structure that is barrier used to hold back water in a reservoir. Typically constructed with mineral sediment or concrete. Degassing emissions,27
66,"Elevated gas emissions that occur as water is released from a dam and experiences sudden changes in pressure, temperature and turbulence. These changes cause air-water exchange processes to occur at much greater rates than in surface waters as the released water approaches a new equilibrium with the environment downstream following Le Chatelier's principle. In the case of dams the change in the hydrostatic pressure before and after water passing through turbines affects this balance. Also, water released from dams is typically released into a stilling basin designed to dissipate much of the turbulent energy of the flow in order to prevent excessive bank erosion in the natural river channel downstream. The increased water column turbulence greatly increases the air-water gas transfer rate for a given dissolved gas concentration. In some cases, water may be discharged through needle valves into the air, which provides very high air-water contact area leading to rapid gas release. Decision tree",27
67,A decision tree is a flow chart describing the specific ordered steps which need to be followed to develop an inventory or an inventory component in accordance with the principles of good practice. Denitrification,27
68,The microbially facilitated reduction of nitrates or nitrites to molecular nitrogen (N2) through which the nitrogen is emitted from the substrate to the atmosphere. Diffusive emission,27
69,"The gas flux across the air-water interface governed by diffusion. For measuring diffusive fluxes, the most popular method employs floating chambers. Frequently estimated using the Thin Boundary Layer model of gas transfer. Displaced emission",27
70,"An emission of greenhouse gases that has been relocated in space (and possibly in time) but unchanged in quantity. For example, remineralisation and emission of CO2 of 1 kg of soil C assumed to occur in an agricultural field may actually occur downstream in a river, reservoir or ocean if that 1 kg of soil C is carried into the stream network as a consequence of rainfall. The carbon is still converted to CO2 but enters the atmosphere at a location downstream of the carbon source. Dissolved Inorganic Carbon (DIC)",27
71,"Sum of all inorganic carbon species in solution (e.g. carbonate, bicarbonate, carbonic acid, carbon dioxide). Dissolved Organic Carbon (DOC)",27
72,"Organic carbon remaining in solution after filtering the sample, typically using a 0.45 micrometre filter. Distribution function",27
73,A distribution function or cumulative distribution function F(x) for a random variable X specifies the probability P(X ≤ x) that X is less than or equal to x.,27
74,Ditch,27
75,"A long, narrow excavation dug in the earth, typically unlined, often with a uniform cross-section. They are most often used to provide drainage alongside roadways and from agricultural fields and to convey water for irrigation. Downstream emissions",27
76,The total greenhouse gas emissions that occur downstream of a dam including both degassing emissions and the diffusive emission. Drainage channel,27
77,A ditch used for drainage. G.7,27
78,Drawdown zone,27
79,The area around the perimeter of a reservoir or pond that is intermittently exposed to the air as a result of water level changes. Ebullitive emission,27
80,The flux of gas carried by bubbles from sediments through to the water column to the atmosphere. Eddy flux measurement,27
