,Sentences,Sentiments
0,VISIONING,27
1,FUTURES,27
2,Improving infrastructure,27
3,planning to harness nature’s,27
4,benefits in a warming world,4
5,,27
6,,27
7,,27
8,DECEMBER 2019,27
9,TABLE OF CONTENTS,27
10,EXECUTIVE SUMMARY,0
11,3,27
12,PART 1: DEFINING THE CHALLENGE,27
13,9,27
14,,27
15,THE PROBLEM,27
16,10,27
17,,27
18,"WORKING TOWARD A SOLUTION: TRENDS IN SUSTAINABLE,",27
19,,27
20,,27
21,AUTHOR                                                                                   CLIMATE-RESILIENT INFRASTRUCTURE,27
22,13,27
23,Ryan Bartlett                                                                        PART 2. LEARNING FROM RELEVANT CASE STUDIES,27
24,23,27
25,,27
26,NATURAL CAPITAL AND CLIMATE RISK PLANNING IN PRACTICE,27
27,23,27
28,,27
29,PLANNING FOR RESILIENCE AND NATURAL CAPITAL IN,27
30,,27
31,,27
32,WWF,27
33,NORTHERN MOZAMBIQUE,27
34,27,27
35,"For more than 50 years, WWF has been protecting the future of nature. One",27
36,"of the world’s leading conservation organizations, WWF works in nearly 100           PART 3: AN IMPROVED PLANNING FRAMEWORK",27
37,39,27
38,countries and is supported by more than 1.1 million members in the United,27
39,BUILDING A BETTER CRYSTAL BALL: VISIONING FUTURES,27
40,,27
41,,27
42,States and 5 million supporters globally. WWF’s unique way of working                    DECISION SUPPORT TOOLS,27
43,40,27
44,"combines global reach with a foundation in science, involves action at every level",4
45,,27
46,A NEW APPROACH,27
47,43,27
48,"from local to global, and ensures the delivery of innovative solutions that meet",27
49,the needs of both people and nature. Visit worldwildlife.org to learn more. PART 4. CONCLUSIONS AND RECOMMENDATIONS,27
50,51,27
51,,27
52,"INTERNATIONAL FINANCE, POLICY, AND TECHNICAL SUPPORT",27
53,51,27
54,ACKNOWLEDGEMENTS,27
55,IN-COUNTRY,27
56,52,27
57,,27
58,"Funding for this analysis, conducted by WWF US, was made possible by the             REFERENCES",27
59,54,27
60,"Support Project for the Implementation of the Paris Agreement (SPA), which",27
61,is implemented by Deutsche Gesellschaft für Internationale Zusammenarbeit,27
62,"(GIZ) and funded by the German Federal Ministry for the Environment, Nature",27
63,Conservation and Nuclear Safety (BMU) under its International Climate,27
64,"Initiative (IKI). Special thanks to Nirmal Baghabati, Daniel Plugge, Andre",15
65,"Fabian, Kate Newman, and Rowan Palmer for their thorough reviews and",27
66,thoughtful comments. Additional thanks to Thad Pawlowski and Georine Pierre,15
67,from the Columbia University Center for Resilient Cities and Landscapes for,27
68,"their invaluable contributions to resilience workshops in Mozambique, including",0
69,the visualization of development scenarios for Palma. 2                                                                                                                                                   1,27
70,EXECUTIVE SUMMARY,0
71,"Seemingly every day around the world, new climate extremes are emerging that call",27
72,into question the development paradigms of the 20th century and the fundamental,27
73,"ability of our existing infrastructure to meet the basic food, water, and energy needs of",27
74,millions. There is perhaps no better recent example than yet another destructive fire,27
75,"season in California, where a stalled high-pressure system from a lethargic jet stream",27
